name,spec,quantity
LED 다운라이트,"15W, PRIME",8
LED 다운라이트,"15W, 5700K, BAROM",5
LED 다운라이트,"15W, 3000K, BAROM",11
꽂음접속식 누전차단기,누전 2구 콘센트,15
POWER FUSE,"7.2KV, 160A",4
직관 LED 형광등,220V,2
호흡기,1000CC,9
호흡기,300CC,6
판넬 쿨링팬,"ST1725HA1, 110V",5
판넬 쿨링팬,"ST1238HA1, 110V",30
FALME PROOF TYPE CONTORL BOX,FJG-40,1
LOCAL CONTROL BOARD,"2152622, ANMA",2
사기 휴즈,"6A, (10개입)",37
사기 휴즈,4A,43
사기 휴즈,2A,15
사기 휴즈,30A,4
표시등 LED 램프,24V RED,38
표시등 LED 램프,24V GREEN,45
표시등 LED 램프,24V YELLOW,46
표시등 LED 램프,6.3V GREEN,80
표시등 LED 램프,6.3V RED,80
표시등 LED 램프,6.3V W,50
판넬문 손잡이(시건),TAK60(A-960-3),10
판넬문 손잡이(시건),TAK60(A-960-2),10
퓨즈,"JR63, 100A",4
퓨즈,17M58010D,2
SCR,MCC 310-16I01,3
IGBT KIT,"ZGAD582PH, ABB",2
CATHODIC PROTECTION 제어보드,프라임 코퍼레이션,2
(구) EP 부품,AVC DISPLAY BOARD,1
(구) EP 부품,AVC 9000 CONTROLLER,1
(구) EP 부품,FIRMWARE,1
(구) EP 부품,ADC CARD,1
(구) EP 부품,DAC CARD,1
(구) EP 부품,AVC CONTROLLER,1
(구) EP 부품,POWER SUPPLY CARD,1
(구) EP 부품,DIGITAL IO CARD,1
BAG FILTER CONTORL CARD,JOIL,2
고체에어로졸 자동소화장치,FIRE WALL,6
HEATING CABLE,"277VAC, 32A",1
파워 키트,POCH-SR2,3
END 키트,SLAB-LED,8
CD관,16mm,1
후렉시블(GW),16mm,2
후렉시블(GW),22mm,2
후렉시블(GW),28mm,3
주름관,22mm,1
전선관,22mm,12
전선관,28mm,7
전선관,36mm,21
커넥터,16mm,15
찬넬,C형,2
케이블 그랜드,16mm,20
커넥터,28mm,20
커플링,22mm,20
부싱,16mm,30
부싱,22mm,30
유니온,22mm,30
유니온,36mm,30
커플링,36mm,30
커넥터,22mm,30
원형 곤지레다,22mm,4
유니버셜 엘보우,22mm,15
45˚ 커넥터,54mm,10
90˚ 커넥터,54mm,10
빔 클램프,소형,10
전선관 클램프,22mm,10
전선관 클램프,28mm,10
T 곤지레다,22mm,5
ㄱ 곤지레다,22mm,4
일자 곤지레다,22mm,5
방폭 콘센트,2구,10
방폭 콘센트,1구,10
방폭 콘센트 커버,1구,30
S WAY SWITH,220V,7
PULL CORD,220V,1
U 볼트,01월 04일,30
PULL CORD WIRE,주황색,1
전선관 박스,22mm,7
호이스트 펜던트,-,1
LEVEL SWITCH,DSH-011,4
MOTOR COOLING FAN,-,4
